name,label,depth_ppm,duration_h,snr,sharpness,secondary_ratio,odd_even_ratio,oot_rms_ppm,dur_phase,period_days,n_cadences
WASP-18,transit,10998.872949,2.258375,190.15357,0.797959,0.051476,0.00359,183.055876,0.1,0.94099,18299
WASP-19,transit,18047.532671,2.130205,58.723341,0.686424,0.028039,0.532499,4248.947968,0.0375,2.36689,15846
WASP-12,transit,6352.582913,16.038457,30.648293,1.059265,1.535617,0.067626,2775.622201,0.0875,7.63736,16552
WASP-121,transit,14593.118246,3.436923,124.671555,0.733879,0.022402,0.19281,3453.909659,0.0375,3.8188,16339
WASP-100,transit,7158.750191,4.272898,57.843331,0.73525,0.01429,0.054394,59.845711,0.0625,2.8486,15882
WASP-4,transit,9644.259729,16.857232,34.62964,0.798448,1.023169,0.014542,2946.472109,0.075,9.36513,18299
WASP-5,transit,5590.495204,15.475078,23.043859,0.850453,0.05018,0.12623,1841.695243,0.079167,8.14478,18299
WASP-46,transit,17907.020001,1.717749,43.506023,0.704727,0.036658,0.087151,203.220181,0.05,1.43146,18276
WASP-77 A,transit,18932.576176,2.311796,196.658447,0.755365,0.015395,0.008722,99.314471,0.070833,1.35988,14818
WASP-95,transit,3606.30065,22.961123,43.872832,0.977633,0.053913,0.096728,1435.93538,0.0875,10.93387,18276
WASP-126,transit,6771.498933,3.947591,49.169877,0.729187,0.018899,0.051039,63.628092,0.05,3.28966,18278
WASP-62,transit,12684.370834,4.418172,138.292334,0.726685,0.006757,0.010241,61.458256,0.041667,4.41817,18278
WASP-43,transit,10182.929568,7.322262,52.661391,0.876441,0.037174,0.051737,3281.925479,0.075,4.06792,15274
WASP-64,transit,13577.757113,2.200701,23.519184,0.822302,0.023581,0.281938,616.006888,0.058333,1.57193,14610
WASP-65,transit,12946.558738,2.774678,25.856258,0.752176,0.011566,0.010579,200.785114,0.05,2.31223,101212
WASP-72,transit,3380.195825,3.772443,25.38798,0.826047,0.075667,0.421901,104.542481,0.070833,2.21908,12894
WASP-78,transit,6334.141466,4.350929,22.380425,0.841361,0.035059,0.043344,231.264668,0.083333,2.17546,16983
WASP-97,transit,13215.631726,2.695152,133.132432,0.763843,0.010674,0.010593,53.885062,0.054167,2.07319,18298
WASP-110,transit,20588.485581,3.405047,59.080595,0.713005,0.023041,0.460174,191.592217,0.0375,3.78339,13045
WASP-120,transit,4770.115201,3.612547,33.499212,0.742553,0.0322,0.105151,84.393428,0.041667,3.61255,14845
KELT-9,transit,3179.758525,7.503553,85.25309,0.610081,0.364167,0.084782,971.616092,0.079167,3.94924,13816
KELT-7,transit,8286.823048,3.833666,163.085896,0.727759,0.013498,0.053469,43.119159,0.058333,2.73833,16734
KELT-11,transit,2357.512593,7.581978,69.814446,0.777226,0.018545,0.009693,34.731696,0.066667,4.73874,15771
KELT-16,transit,6655.569164,13.555828,23.381812,0.86271,1.188005,0.092755,2155.867252,0.083333,6.77791,12949
KELT-20,transit,7846.573524,6.245783,186.610202,0.780844,0.011218,0.00132,1643.367578,0.025,10.40964,11999
KELT-24,transit,7868.071048,4.996261,176.280328,0.731069,0.009059,0.078215,44.621773,0.0375,5.5514,18419
KELT-1,transit,6469.139499,3.651935,51.935203,0.691158,0.107579,0.115512,1564.77093,0.041667,3.65194,12850
HAT-P-7,transit,6328.332303,4.192848,54.020234,0.777449,0.019729,0.044326,64.375373,0.079167,2.20676,18420
TrES-2,transit,12158.557928,1.975974,64.648254,0.675379,0.015058,0.271352,121.763271,0.033333,2.46997,16653
HD 209458,transit,14912.997921,3.526445,264.015744,0.706942,0.00611,0.040165,22.72327,0.041667,3.52644,117488
HD 189733,transit,21971.39916,1.996861,427.340572,0.713477,5.7e-05,0.545838,98.328338,0.0375,2.21873,109846
WASP-33,transit,11524.308579,3.288131,245.449142,0.81976,0.033454,1.024965,2751.765575,0.0375,3.65348,14795
AU Mic,transit,3357.767448,10.660303,102.639385,0.614241,0.400824,0.130758,400.48916,0.045833,9.69118,17687
WASP-101,transit,10079.192504,3.22864,100.462803,0.706729,0.016811,0.110534,54.599576,0.0375,3.58738,14581
Algol,eclipse,333953.20169,6.586721,3076.837351,0.65502,0.040503,0.12211,4357.994043,0.095833,2.86379,14656
TIC 129319156,eclipse,80.757428,38.593586,0.209576,1.2,2.706162,0.680017,80.168069,0.120833,13.30813,110980
TIC 271167979,eclipse,3809.436769,4.331618,4.01069,0.882173,1.19979,0.059283,1368.595616,0.083333,2.16581,17896
TIC 309402106,eclipse,439.011265,5.698591,8.887194,0.534203,0.138488,0.052513,50.116285,0.05,4.74883,18277
TIC 288471040,eclipse,98.46679,2.165386,0.711816,1.14629,1.300585,1.019426,69.970717,0.108333,0.83284,16456
TIC 356868487,eclipse,6649.75538,14.100064,15.154676,0.802606,0.119489,1.172196,245.776137,0.041667,14.10006,19610
TIC 379629854,eclipse,815.510136,1.840883,4.433773,0.693341,0.255846,0.483731,103.284366,0.054167,1.41606,15333
TIC 432008938,eclipse,7253.156039,7.831795,4.506782,0.690491,0.211469,1.295098,777.109507,0.054167,6.02446,16311
TIC 319968129,eclipse,864.411478,7.475513,5.869044,0.560573,0.095667,0.277031,75.144697,0.05,6.22959,14897
TIC 457138169,eclipse,715.302602,0.983378,9.647538,0.770093,0.142216,0.172931,51.404951,0.0375,1.09264,18659
TIC 288185138,eclipse,1839.068972,1.252551,14.410331,0.72232,0.107878,0.197529,97.462713,0.0625,0.83503,19611
TIC 308425348,eclipse,1042.931121,19.035302,0.611061,0.606676,0.652112,0.266862,329.074744,0.066667,11.89706,110963
TIC 274138511,eclipse,478.394331,6.108382,3.502026,0.603493,0.16171,0.136526,65.620779,0.0375,6.78709,16252
TIC 347011522,eclipse,9.636028,35.914955,0.026509,1.2,40.78009,101.025786,141.507863,0.108333,13.81344,17991
TIC 313675203,eclipse,223.269659,18.076759,2.317684,0.566296,0.598726,0.916466,59.57799,0.075,10.04264,14807
TIC 255760319,eclipse,308.035796,3.966692,4.90337,0.810406,0.243533,0.539782,30.476633,0.045833,3.60608,14652
TIC 265077027,eclipse,3012.084733,2.876951,16.481582,0.759902,0.085927,0.065808,158.900051,0.025,4.79492,16877
TIC 86280613,eclipse,1095.230976,5.735201,12.613362,0.777871,0.085943,0.024464,44.471937,0.025,9.55867,16476
TIC 202428245,eclipse,175.705753,15.934493,2.304274,0.528582,0.401859,0.087461,38.763959,0.066667,9.95906,13740
TIC 268042363,eclipse,0.0,38.249175,0.0,0.0,973.819521,461.504435,531.189589,0.133333,11.95287,15536
TIC 307734817,eclipse,3385.599964,1.895122,11.634451,0.733548,0.086167,0.052273,172.286021,0.0375,2.10569,15924
TIC 347442932,eclipse,0.0,10.192739,0.0,0.0,669.328327,10531.595512,481.447121,0.041667,10.19274,16150
TIC 117256577,eclipse,3442.368177,2.527888,19.851154,0.71847,0.063455,0.106389,148.328918,0.0625,1.68526,18321
TIC 399444057,eclipse,758.282199,3.738169,2.262697,0.641385,0.342463,0.57559,165.723942,0.075,2.07676,16297
TIC 48476907,eclipse,560.372069,2.831127,5.091596,0.732619,0.188765,0.464558,53.301979,0.025,4.71855,15622
TIC 47617038,eclipse,265.734061,8.082665,3.424086,0.652824,0.544135,0.330391,76.827265,0.033333,10.10333,109485
TIC 154867950,eclipse,131.23663,11.658898,2.249936,0.746437,1.620697,0.194616,58.825598,0.104167,4.66356,18603
TIC 1717732429,eclipse,17608.212426,7.076978,92.376579,0.701732,0.076453,0.2212,374.898416,0.0375,7.86331,19610
TIC 450327768,eclipse,1870.350634,7.342482,15.98265,0.821666,0.135647,0.008736,327.452389,0.025,12.23747,15480
TIC 441738827,eclipse,520.813804,16.385815,0.664834,1.2,1.57609,1.429964,365.920625,0.1125,6.06882,15696
TIC 151930063,eclipse,2675.243424,3.122457,3.432327,0.755025,0.350625,0.359938,399.945826,0.025,5.2041,15731
